"cluster","sample","group","sample_id","n_cells"
"0","GSE203115_1","ypN0","ypN05",550
"0","GSE203115_2","ypN+","ypN.7",443
"0","GSE203115_3","ypN0","ypN06",847
"1","GSE203115_1","ypN0","ypN05",348
"1","GSE203115_2","ypN+","ypN.7",459
"1","GSE203115_3","ypN0","ypN06",72
"10","GSE203115_1","ypN0","ypN05",40
"10","GSE203115_2","ypN+","ypN.7",14
"10","GSE203115_3","ypN0","ypN06",35
"11","GSE203115_1","ypN0","ypN05",19
"11","GSE203115_2","ypN+","ypN.7",19
"11","GSE203115_3","ypN0","ypN06",1
"12","GSE203115_1","ypN0","ypN05",8
"12","GSE203115_2","ypN+","ypN.7",13
"12","GSE203115_3","ypN0","ypN06",1
"2","GSE203115_1","ypN0","ypN05",265
"2","GSE203115_2","ypN+","ypN.7",84
"2","GSE203115_3","ypN0","ypN06",308
"3","GSE203115_1","ypN0","ypN05",142
"3","GSE203115_2","ypN+","ypN.7",127
"3","GSE203115_3","ypN0","ypN06",248
"4","GSE203115_1","ypN0","ypN05",43
"4","GSE203115_2","ypN+","ypN.7",171
"4","GSE203115_3","ypN0","ypN06",236
"5","GSE203115_1","ypN0","ypN05",30
"5","GSE203115_2","ypN+","ypN.7",164
"5","GSE203115_3","ypN0","ypN06",24
"6","GSE203115_1","ypN0","ypN05",112
"6","GSE203115_2","ypN+","ypN.7",27
"6","GSE203115_3","ypN0","ypN06",67
"7","GSE203115_1","ypN0","ypN05",92
"7","GSE203115_2","ypN+","ypN.7",31
"7","GSE203115_3","ypN0","ypN06",67
"8","GSE203115_1","ypN0","ypN05",52
"8","GSE203115_2","ypN+","ypN.7",9
"8","GSE203115_3","ypN0","ypN06",55
"9","GSE203115_1","ypN0","ypN05",21
"9","GSE203115_2","ypN+","ypN.7",13
"9","GSE203115_3","ypN0","ypN06",57
