"sample","group","sample_id","nCount_q05","nCount_median","nCount_q95","nFeature_q05","nFeature_median","nFeature_q95","mt_q05","mt_median","mt_q95"
"GSE203115_1","ypN0","ypN05",978.1,4128.5,32167.05,455,1455,5120.95,0.6015725637903,4.32040606514124,30.7550698038991
"GSE203115_2","ypN+","ypN.7",1192.8,4345,30644.4,550,1619,4911.8,0.255296862764649,2.76315103487826,18.7658216709995
"GSE203115_3","ypN0","ypN06",648.5,2609,18869,368,1101,3382,0.9799734003483,4.27493713327745,19.9935574975514
"HRR1430835","ypN+","ypN.2",1130,3176,7142,743.4,1508,2732.6,0.593704611152812,1.91518467852257,5.19221130603705
"HRR1430840","ypN0","ypN01",1332.5,3105,9409.5,725,1429,3020.5,1.76435482986837,4.38773451684487,9.65540805694258
"HRR1430849","ypN0","ypN03",1068,2383,6702.59999999999,584.8,1072,2300.8,0.721702383514565,2.29422418997786,5.49715344896066
"HRR1430852","ypN0","ypN02",1332,3984,9040.5,766.1,1523,2846.9,1.32597929240012,2.76268115942029,6.79709302660122
"HRR1430853","ypN+","ypN.4",825,2162.5,6087.90000000001,557,1050,2305,1.69572771361432,3.5078064673091,7.98900125906227
"HRR1430854","ypN+","ypN.1",640.9,2543,6721.59999999998,468,1167,2458.4,0.915448373659771,2.84200385356455,6.68590501111392
"HRR1430856","ypN+","ypN.5",951.6,3485,9759.4,614.6,1490,3111.4,1.18464418645792,2.93182620981985,8.53258808264297
"HRR1430859","ypN0","ypN04",643,1923,7911.2,397,981,2729,0.265112014725335,2.6046511627907,7.77791718946048
"HRR1430863","ypN+","ypN.3",903,2050,5262.3,551.7,1021,2072,1.26675845107134,2.81316348195329,6.32585100232008
"HRR1430865","ypN+","ypN.6",759,3273,15601.8,460.4,1522,4074.8,0.124587307454612,1.92953228734117,5.83005348297146
"HRS849520","ypN0","ypN07",2260,4719,12990,768,1429,2696,5.94645818526416,12.6918126918127,23.3486400565171
"HRS849523","ypN0","ypN08",4377,7435,23393,1271.2,2072,4105.4,3.36776004997955,9.53805872451842,28.8298424633011
"HRS849526","ypN0","ypN09",1859,3546,9052.8,657.2,1172,2154.8,6.05623067932107,12.4528301886792,27.7527192001019
"HRS849531","ypN0","ypN010",4229.85,6190,17187,1112,1785,3305.15,5.62602467976058,13.527293185815,35.6726140778405
"HRS849533","ypN0","ypN011",3760.1,5937,16987.1,935,1581,2949.9,3.71193939606812,15.7327899869015,35.7110724956794
"HRS849536","ypN0","ypN012",6815.4,11373,37779.8,1113.4,2295,4456.8,2.60345944721655,11.4779116465863,32.0746304775849
"HRS849540","ypN0","ypN013",1325,2122,5916.6,361.6,656,1348.4,8.889890481548,24.9584947426674,52.7706350141142
"HRS849542","ypN+","ypN.8",2053,4477,11639.3,720.15,1369,2509.4,3.82391407785381,8.36347797240956,18.6700981352332
"HRS849544","ypN0","ypN014",2527.7,6116,15253.6,812.9,1668.5,2951.05,7.12610242655691,13.7889974560592,35.0292356934132
"HRS849550","ypN0","ypN015",5060,9867,28576,1463,2359,4342,2.92838503914178,7.37820901556499,15.5138176402449
