"sample","group","sample_id","cells_before","discarded","kept","median_features","median_counts","median_mt"
"GSE203115_1","ypN0","ypN05",4322,644,3678,1455,4128.5,4.32040606514124
"GSE203115_2","ypN+","ypN.7",3449,389,3060,1619,4345,2.76315103487826
"GSE203115_3","ypN0","ypN06",4991,564,4427,1101,2609,4.27493713327745
"HRR1430835","ypN+","ypN.2",10889,1257,9632,1508,3176,1.91518467852257
"HRR1430840","ypN0","ypN01",1991,90,1901,1429,3105,4.38773451684487
"HRR1430849","ypN0","ypN03",9977,1159,8818,1072,2383,2.29422418997786
"HRR1430852","ypN0","ypN02",12383,1418,10965,1523,3984,2.76268115942029
"HRR1430853","ypN+","ypN.4",8794,881,7913,1050,2162.5,3.5078064673091
"HRR1430854","ypN+","ypN.1",5899,464,5435,1167,2543,2.84200385356455
"HRR1430856","ypN+","ypN.5",7933,771,7162,1490,3485,2.93182620981985
"HRR1430859","ypN0","ypN04",10199,1201,8998,981,1923,2.6046511627907
"HRR1430863","ypN+","ypN.3",8775,872,7903,1021,2050,2.81316348195329
"HRR1430865","ypN+","ypN.6",9169,903,8266,1522,3273,1.92953228734117
"HRS849520","ypN0","ypN07",2981,434,2547,1429,4719,12.6918126918127
"HRS849523","ypN0","ypN08",3605,656,2949,2072,7435,9.53805872451842
"HRS849526","ypN0","ypN09",10265,2310,7955,1172,3546,12.4528301886792
"HRS849531","ypN0","ypN010",5998,1950,4048,1785,6190,13.527293185815
"HRS849533","ypN0","ypN011",6803,2487,4316,1581,5937,15.7327899869015
"HRS849536","ypN0","ypN012",3225,687,2538,2295,11373,11.4779116465863
"HRS849540","ypN0","ypN013",9473,6362,3111,656,2122,24.9584947426674
"HRS849542","ypN+","ypN.8",4464,392,4072,1369,4477,8.36347797240956
"HRS849544","ypN0","ypN014",2640,619,2021,1668.5,6116,13.7889974560592
"HRS849550","ypN0","ypN015",7281,712,6569,2359,9867,7.37820901556499
