"sample_id","sample","group","status","count"
"ypN05","GSE203115_1","ypN0","before",4322
"ypN.7","GSE203115_2","ypN+","before",3449
"ypN06","GSE203115_3","ypN0","before",4991
"ypN.2","HRR1430835","ypN+","before",10889
"ypN01","HRR1430840","ypN0","before",1991
"ypN03","HRR1430849","ypN0","before",9977
"ypN02","HRR1430852","ypN0","before",12383
"ypN.4","HRR1430853","ypN+","before",8794
"ypN.1","HRR1430854","ypN+","before",5899
"ypN.5","HRR1430856","ypN+","before",7933
"ypN04","HRR1430859","ypN0","before",10199
"ypN.3","HRR1430863","ypN+","before",8775
"ypN.6","HRR1430865","ypN+","before",9169
"ypN07","HRS849520","ypN0","before",2981
"ypN08","HRS849523","ypN0","before",3605
"ypN09","HRS849526","ypN0","before",10265
"ypN010","HRS849531","ypN0","before",5998
"ypN011","HRS849533","ypN0","before",6803
"ypN012","HRS849536","ypN0","before",3225
"ypN013","HRS849540","ypN0","before",9473
"ypN.8","HRS849542","ypN+","before",4464
"ypN014","HRS849544","ypN0","before",2640
"ypN015","HRS849550","ypN0","before",7281
"ypN05","GSE203115_1","ypN0","after",3678
"ypN.7","GSE203115_2","ypN+","after",3060
"ypN06","GSE203115_3","ypN0","after",4427
"ypN.2","HRR1430835","ypN+","after",9632
"ypN01","HRR1430840","ypN0","after",1901
"ypN03","HRR1430849","ypN0","after",8818
"ypN02","HRR1430852","ypN0","after",10965
"ypN.4","HRR1430853","ypN+","after",7913
"ypN.1","HRR1430854","ypN+","after",5435
"ypN.5","HRR1430856","ypN+","after",7162
"ypN04","HRR1430859","ypN0","after",8998
"ypN.3","HRR1430863","ypN+","after",7903
"ypN.6","HRR1430865","ypN+","after",8266
"ypN07","HRS849520","ypN0","after",2547
"ypN08","HRS849523","ypN0","after",2949
"ypN09","HRS849526","ypN0","after",7955
"ypN010","HRS849531","ypN0","after",4048
"ypN011","HRS849533","ypN0","after",4316
"ypN012","HRS849536","ypN0","after",2538
"ypN013","HRS849540","ypN0","after",3111
"ypN.8","HRS849542","ypN+","after",4072
"ypN014","HRS849544","ypN0","after",2021
"ypN015","HRS849550","ypN0","after",6569
