"cluster","sample","group","sample_id","n_cells"
"0","GSE203115_1","ypN0","ypN05",430
"0","GSE203115_2","ypN+","ypN.7",404
"0","GSE203115_3","ypN0","ypN06",638
"0","HRR1430835","ypN+","ypN.2",2998
"0","HRR1430840","ypN0","ypN01",242
"0","HRR1430849","ypN0","ypN03",1564
"0","HRR1430852","ypN0","ypN02",2870
"0","HRR1430853","ypN+","ypN.4",1132
"0","HRR1430854","ypN+","ypN.1",1101
"0","HRR1430856","ypN+","ypN.5",1087
"0","HRR1430859","ypN0","ypN04",1133
"0","HRR1430863","ypN+","ypN.3",1225
"0","HRR1430865","ypN+","ypN.6",1304
"0","HRS849526","ypN0","ypN09",7
"0","HRS849531","ypN0","ypN010",3
"0","HRS849542","ypN+","ypN.8",3
"0","HRS849550","ypN0","ypN015",6
"1","GSE203115_1","ypN0","ypN05",157
"1","GSE203115_2","ypN+","ypN.7",112
"1","GSE203115_3","ypN0","ypN06",288
"1","HRR1430835","ypN+","ypN.2",1421
"1","HRR1430840","ypN0","ypN01",234
"1","HRR1430849","ypN0","ypN03",929
"1","HRR1430852","ypN0","ypN02",1603
"1","HRR1430853","ypN+","ypN.4",920
"1","HRR1430854","ypN+","ypN.1",765
"1","HRR1430856","ypN+","ypN.5",727
"1","HRR1430859","ypN0","ypN04",836
"1","HRR1430863","ypN+","ypN.3",955
"1","HRR1430865","ypN+","ypN.6",675
"1","HRS849523","ypN0","ypN08",27
"1","HRS849526","ypN0","ypN09",198
"1","HRS849531","ypN0","ypN010",16
"1","HRS849542","ypN+","ypN.8",155
"1","HRS849550","ypN0","ypN015",8
"10","GSE203115_1","ypN0","ypN05",18
"10","GSE203115_2","ypN+","ypN.7",17
"10","GSE203115_3","ypN0","ypN06",34
"10","HRR1430835","ypN+","ypN.2",209
"10","HRR1430840","ypN0","ypN01",37
"10","HRR1430849","ypN0","ypN03",47
"10","HRR1430852","ypN0","ypN02",192
"10","HRR1430853","ypN+","ypN.4",126
"10","HRR1430854","ypN+","ypN.1",95
"10","HRR1430856","ypN+","ypN.5",420
"10","HRR1430859","ypN0","ypN04",32
"10","HRR1430863","ypN+","ypN.3",614
"10","HRR1430865","ypN+","ypN.6",285
"11","GSE203115_1","ypN0","ypN05",41
"11","GSE203115_2","ypN+","ypN.7",135
"11","GSE203115_3","ypN0","ypN06",22
"11","HRR1430835","ypN+","ypN.2",231
"11","HRR1430840","ypN0","ypN01",23
"11","HRR1430849","ypN0","ypN03",102
"11","HRR1430852","ypN0","ypN02",113
"11","HRR1430853","ypN+","ypN.4",57
"11","HRR1430854","ypN+","ypN.1",280
"11","HRR1430856","ypN+","ypN.5",153
"11","HRR1430859","ypN0","ypN04",23
"11","HRR1430863","ypN+","ypN.3",198
"11","HRR1430865","ypN+","ypN.6",283
"11","HRS849523","ypN0","ypN08",127
"11","HRS849526","ypN0","ypN09",11
"11","HRS849531","ypN0","ypN010",213
"11","HRS849542","ypN+","ypN.8",14
"11","HRS849550","ypN0","ypN015",19
"12","GSE203115_1","ypN0","ypN05",107
"12","GSE203115_2","ypN+","ypN.7",46
"12","GSE203115_3","ypN0","ypN06",9
"12","HRR1430835","ypN+","ypN.2",3
"12","HRR1430840","ypN0","ypN01",11
"12","HRR1430849","ypN0","ypN03",68
"12","HRR1430852","ypN0","ypN02",26
"12","HRR1430853","ypN+","ypN.4",81
"12","HRR1430854","ypN+","ypN.1",48
"12","HRR1430856","ypN+","ypN.5",78
"12","HRR1430859","ypN0","ypN04",101
"12","HRR1430863","ypN+","ypN.3",16
"12","HRR1430865","ypN+","ypN.6",82
"12","HRS849523","ypN0","ypN08",95
"12","HRS849526","ypN0","ypN09",139
"12","HRS849531","ypN0","ypN010",260
"12","HRS849542","ypN+","ypN.8",100
"12","HRS849550","ypN0","ypN015",140
"13","GSE203115_1","ypN0","ypN05",5
"13","GSE203115_2","ypN+","ypN.7",13
"13","GSE203115_3","ypN0","ypN06",33
"13","HRR1430835","ypN+","ypN.2",129
"13","HRR1430840","ypN0","ypN01",29
"13","HRR1430849","ypN0","ypN03",87
"13","HRR1430852","ypN0","ypN02",224
"13","HRR1430853","ypN+","ypN.4",82
"13","HRR1430854","ypN+","ypN.1",75
"13","HRR1430856","ypN+","ypN.5",83
"13","HRR1430859","ypN0","ypN04",54
"13","HRR1430863","ypN+","ypN.3",86
"13","HRR1430865","ypN+","ypN.6",70
"13","HRS849523","ypN0","ypN08",53
"13","HRS849526","ypN0","ypN09",33
"13","HRS849531","ypN0","ypN010",158
"13","HRS849542","ypN+","ypN.8",22
"13","HRS849550","ypN0","ypN015",132
