"sample","group","sample_id","cells_total","cells_CD45pos","pct_CD45pos"
"GSE203115_1","ypN0","ypN05",3678,1722,46.8189233278956
"GSE203115_2","ypN+","ypN.7",3060,1574,51.437908496732
"GSE203115_3","ypN0","ypN06",4427,2018,45.5839168737294
"HRR1430835","ypN+","ypN.2",9632,9074,94.2068106312292
"HRR1430840","ypN0","ypN01",1901,1755,92.3198316675434
"HRR1430849","ypN0","ypN03",8818,7381,83.703787706963
"HRR1430852","ypN0","ypN02",10965,10397,94.8198814409485
"HRR1430853","ypN+","ypN.4",7913,6410,81.0059395930747
"HRR1430854","ypN+","ypN.1",5435,4507,82.9254829806808
"HRR1430856","ypN+","ypN.5",7162,6149,85.8559061714605
"HRR1430859","ypN0","ypN04",8998,6128,68.1040231162481
"HRR1430863","ypN+","ypN.3",7903,5954,75.3384790585853
"HRR1430865","ypN+","ypN.6",8266,6663,80.6073070408904
"HRS849520","ypN0","ypN07",2547,396,15.547703180212
"HRS849523","ypN0","ypN08",2949,1570,53.2383858935232
"HRS849526","ypN0","ypN09",7955,2383,29.956002514142
"HRS849531","ypN0","ypN010",4048,1728,42.6877470355731
"HRS849533","ypN0","ypN011",4316,413,9.56904541241891
"HRS849536","ypN0","ypN012",2538,558,21.9858156028369
"HRS849540","ypN0","ypN013",3111,229,7.36097717775635
"HRS849542","ypN+","ypN.8",4072,1537,37.74557956778
"HRS849544","ypN0","ypN014",2021,551,27.2637308263236
"HRS849550","ypN0","ypN015",6569,1566,23.8392449383468
