"cluster","n_cells","pct"
"0",14224,18.1160527790514
"1",11649,14.8364664526975
"10",1751,2.23011870192063
"11",1434,1.82637933669571
"12",1354,1.72448927607112
"13",1253,1.59585307453258
"14",745,0.948851189566458
"15",606,0.77181720923124
"16",514,0.654643639512966
"17",238,0.303122930358144
"18",217,0.27637678944419
"19",67,0.0853329257730908
"2",9488,12.0841611900759
"3",8767,11.1658770186968
"4",7083,9.02109124254929
"5",5413,6.89413622701105
"6",4820,6.13887615263131
"7",4434,5.64725661011768
"8",2404,3.06179632176881
"9",2055,2.61730093229405
