"cluster","sample","group","sample_id","n_cells"
"0","GSE203115_1","ypN0","ypN05",425
"0","GSE203115_2","ypN+","ypN.7",381
"0","GSE203115_3","ypN0","ypN06",603
"0","HRR1430835","ypN+","ypN.2",2672
"0","HRR1430840","ypN0","ypN01",238
"0","HRR1430849","ypN0","ypN03",1518
"0","HRR1430852","ypN0","ypN02",2411
"0","HRR1430853","ypN+","ypN.4",910
"0","HRR1430854","ypN+","ypN.1",935
"0","HRR1430856","ypN+","ypN.5",926
"0","HRR1430859","ypN0","ypN04",995
"0","HRR1430863","ypN+","ypN.3",1097
"0","HRR1430865","ypN+","ypN.6",1087
"0","HRS849523","ypN0","ypN08",1
"0","HRS849526","ypN0","ypN09",8
"0","HRS849531","ypN0","ypN010",3
"0","HRS849542","ypN+","ypN.8",1
"0","HRS849550","ypN0","ypN015",13
"1","GSE203115_1","ypN0","ypN05",205
"1","GSE203115_2","ypN+","ypN.7",209
"1","GSE203115_3","ypN0","ypN06",370
"1","HRR1430835","ypN+","ypN.2",1898
"1","HRR1430840","ypN0","ypN01",218
"1","HRR1430849","ypN0","ypN03",1041
"1","HRR1430852","ypN0","ypN02",1950
"1","HRR1430853","ypN+","ypN.4",1036
"1","HRR1430854","ypN+","ypN.1",687
"1","HRR1430856","ypN+","ypN.5",851
"1","HRR1430859","ypN0","ypN04",914
"1","HRR1430863","ypN+","ypN.3",945
"1","HRR1430865","ypN+","ypN.6",983
"1","HRS849523","ypN0","ypN08",22
"1","HRS849526","ypN0","ypN09",158
"1","HRS849531","ypN0","ypN010",14
"1","HRS849542","ypN+","ypN.8",148
"10","GSE203115_1","ypN0","ypN05",18
"10","GSE203115_2","ypN+","ypN.7",15
"10","GSE203115_3","ypN0","ypN06",34
"10","HRR1430835","ypN+","ypN.2",174
"10","HRR1430840","ypN0","ypN01",32
"10","HRR1430849","ypN0","ypN03",52
"10","HRR1430852","ypN0","ypN02",157
"10","HRR1430853","ypN+","ypN.4",106
"10","HRR1430854","ypN+","ypN.1",80
"10","HRR1430856","ypN+","ypN.5",334
"10","HRR1430859","ypN0","ypN04",28
"10","HRR1430863","ypN+","ypN.3",497
"10","HRR1430865","ypN+","ypN.6",224
"11","GSE203115_1","ypN0","ypN05",108
"11","GSE203115_2","ypN+","ypN.7",44
"11","GSE203115_3","ypN0","ypN06",7
"11","HRR1430835","ypN+","ypN.2",4
"11","HRR1430840","ypN0","ypN01",11
"11","HRR1430849","ypN0","ypN03",73
"11","HRR1430852","ypN0","ypN02",42
"11","HRR1430853","ypN+","ypN.4",85
"11","HRR1430854","ypN+","ypN.1",63
"11","HRR1430856","ypN+","ypN.5",83
"11","HRR1430859","ypN0","ypN04",100
"11","HRR1430863","ypN+","ypN.3",16
"11","HRR1430865","ypN+","ypN.6",83
"11","HRS849523","ypN0","ypN08",92
"11","HRS849526","ypN0","ypN09",143
"11","HRS849531","ypN0","ypN010",250
"11","HRS849542","ypN+","ypN.8",102
"11","HRS849550","ypN0","ypN015",128
"12","GSE203115_1","ypN0","ypN05",5
"12","GSE203115_2","ypN+","ypN.7",12
"12","GSE203115_3","ypN0","ypN06",32
"12","HRR1430835","ypN+","ypN.2",134
"12","HRR1430840","ypN0","ypN01",34
"12","HRR1430849","ypN0","ypN03",88
"12","HRR1430852","ypN0","ypN02",252
"12","HRR1430853","ypN+","ypN.4",86
"12","HRR1430854","ypN+","ypN.1",84
"12","HRR1430856","ypN+","ypN.5",84
"12","HRR1430859","ypN0","ypN04",52
"12","HRR1430863","ypN+","ypN.3",86
"12","HRR1430865","ypN+","ypN.6",63
"12","HRS849523","ypN0","ypN08",41
"12","HRS849526","ypN0","ypN09",34
"12","HRS849531","ypN0","ypN010",125
"12","HRS849542","ypN+","ypN.8",24
"12","HRS849550","ypN0","ypN015",118
"13","GSE203115_1","ypN0","ypN05",40
"13","GSE203115_2","ypN+","ypN.7",14
"13","GSE203115_3","ypN0","ypN06",35
"13","HRR1430835","ypN+","ypN.2",5
"13","HRR1430849","ypN0","ypN03",109
"13","HRR1430852","ypN0","ypN02",29
"13","HRR1430853","ypN+","ypN.4",15
"13","HRR1430854","ypN+","ypN.1",160
"13","HRR1430856","ypN+","ypN.5",59
"13","HRR1430859","ypN0","ypN04",220
"13","HRR1430863","ypN+","ypN.3",2
"13","HRR1430865","ypN+","ypN.6",13
"13","HRS849523","ypN0","ypN08",14
"13","HRS849526","ypN0","ypN09",423
"13","HRS849531","ypN0","ypN010",35
"13","HRS849542","ypN+","ypN.8",32
"13","HRS849550","ypN0","ypN015",48
"14","GSE203115_1","ypN0","ypN05",49
"14","GSE203115_2","ypN+","ypN.7",9
"14","GSE203115_3","ypN0","ypN06",50
"14","HRR1430835","ypN+","ypN.2",56
"14","HRR1430840","ypN0","ypN01",14
"14","HRR1430849","ypN0","ypN03",24
"14","HRR1430852","ypN0","ypN02",8
"14","HRR1430853","ypN+","ypN.4",19
"14","HRR1430854","ypN+","ypN.1",30
"14","HRR1430856","ypN+","ypN.5",108
"14","HRR1430859","ypN0","ypN04",112
"14","HRR1430863","ypN+","ypN.3",18
"14","HRR1430865","ypN+","ypN.6",143
"14","HRS849523","ypN0","ypN08",41
"14","HRS849526","ypN0","ypN09",3
"14","HRS849531","ypN0","ypN010",16
"14","HRS849542","ypN+","ypN.8",13
"14","HRS849550","ypN0","ypN015",32
"15","GSE203115_1","ypN0","ypN05",7
"15","GSE203115_2","ypN+","ypN.7",2
"15","GSE203115_3","ypN0","ypN06",37
"15","HRR1430849","ypN0","ypN03",2
"15","HRR1430859","ypN0","ypN04",13
"15","HRR1430865","ypN+","ypN.6",2
"15","HRS849523","ypN0","ypN08",47
"15","HRS849526","ypN0","ypN09",85
"15","HRS849531","ypN0","ypN010",60
"15","HRS849542","ypN+","ypN.8",40
"15","HRS849550","ypN0","ypN015",311
"16","GSE203115_1","ypN0","ypN05",1
"16","GSE203115_2","ypN+","ypN.7",4
"16","GSE203115_3","ypN0","ypN06",4
"16","HRR1430835","ypN+","ypN.2",41
"16","HRR1430840","ypN0","ypN01",81
"16","HRR1430849","ypN0","ypN03",77
"16","HRR1430852","ypN0","ypN02",92
"16","HRR1430853","ypN+","ypN.4",48
"16","HRR1430854","ypN+","ypN.1",4
"16","HRR1430856","ypN+","ypN.5",121
"16","HRR1430859","ypN0","ypN04",18
"16","HRR1430863","ypN+","ypN.3",5
"16","HRR1430865","ypN+","ypN.6",2
"16","HRS849523","ypN0","ypN08",10
"16","HRS849531","ypN0","ypN010",3
"16","HRS849542","ypN+","ypN.8",3
"17","GSE203115_1","ypN0","ypN05",7
"17","GSE203115_2","ypN+","ypN.7",13
"17","GSE203115_3","ypN0","ypN06",1
"17","HRR1430835","ypN+","ypN.2",16
"17","HRR1430840","ypN0","ypN01",4
"17","HRR1430849","ypN0","ypN03",8
"17","HRR1430852","ypN0","ypN02",15
"17","HRR1430853","ypN+","ypN.4",13
"17","HRR1430854","ypN+","ypN.1",20
"17","HRR1430856","ypN+","ypN.5",62
"17","HRR1430859","ypN0","ypN04",7
"17","HRR1430863","ypN+","ypN.3",3
"17","HRR1430865","ypN+","ypN.6",6
"17","HRS849523","ypN0","ypN08",13
"17","HRS849526","ypN0","ypN09",11
"17","HRS849531","ypN0","ypN010",21
"17","HRS849542","ypN+","ypN.8",10
"17","HRS849550","ypN0","ypN015",8
"18","GSE203115_1","ypN0","ypN05",7
"18","GSE203115_2","ypN+","ypN.7",7
"18","GSE203115_3","ypN0","ypN06",12
"18","HRR1430835","ypN+","ypN.2",11
"18","HRR1430849","ypN0","ypN03",7
"18","HRR1430852","ypN0","ypN02",3
"18","HRR1430853","ypN+","ypN.4",4
"18","HRR1430854","ypN+","ypN.1",11
"18","HRR1430856","ypN+","ypN.5",9
"18","HRR1430859","ypN0","ypN04",1
"18","HRR1430863","ypN+","ypN.3",9
"18","HRR1430865","ypN+","ypN.6",3
"18","HRS849523","ypN0","ypN08",18
"18","HRS849526","ypN0","ypN09",4
"18","HRS849531","ypN0","ypN010",110
"18","HRS849542","ypN+","ypN.8",1
"19","HRS849523","ypN0","ypN08",22
"19","HRS849526","ypN0","ypN09",32
"19","HRS849542","ypN+","ypN.8",3
"19","HRS849550","ypN0","ypN015",10
"2","GSE203115_1","ypN0","ypN05",158
