"cluster","sample","group","sample_id","n_cells"
"0","GSE203115_1","ypN0","ypN05",382
"0","GSE203115_2","ypN+","ypN.7",355
"0","GSE203115_3","ypN0","ypN06",541
"0","HRR1430835","ypN+","ypN.2",2909
"0","HRR1430840","ypN0","ypN01",217
"0","HRR1430849","ypN0","ypN03",1287
"0","HRR1430852","ypN0","ypN02",2389
"0","HRR1430853","ypN+","ypN.4",1001
"0","HRR1430854","ypN+","ypN.1",835
"0","HRR1430856","ypN+","ypN.5",895
"0","HRR1430859","ypN0","ypN04",1139
"0","HRR1430863","ypN+","ypN.3",1016
"0","HRR1430865","ypN+","ypN.6",1229
"0","HRS849520","ypN0","ypN07",8
"0","HRS849523","ypN0","ypN08",4
"0","HRS849526","ypN0","ypN09",178
"0","HRS849531","ypN0","ypN010",1
"0","HRS849542","ypN+","ypN.8",118
"1","GSE203115_1","ypN0","ypN05",108
"1","GSE203115_2","ypN+","ypN.7",32
"1","GSE203115_3","ypN0","ypN06",64
"1","HRR1430835","ypN+","ypN.2",347
"1","HRR1430840","ypN0","ypN01",405
"1","HRR1430849","ypN0","ypN03",1492
"1","HRR1430852","ypN0","ypN02",1890
"1","HRR1430853","ypN+","ypN.4",1860
"1","HRR1430854","ypN+","ypN.1",262
"1","HRR1430856","ypN+","ypN.5",677
"1","HRR1430859","ypN0","ypN04",711
"1","HRR1430863","ypN+","ypN.3",293
"1","HRR1430865","ypN+","ypN.6",226
"1","HRS849520","ypN0","ypN07",81
"1","HRS849523","ypN0","ypN08",59
"1","HRS849526","ypN0","ypN09",71
"1","HRS849531","ypN0","ypN010",106
"1","HRS849533","ypN0","ypN011",6
"1","HRS849536","ypN0","ypN012",5
"1","HRS849540","ypN0","ypN013",8
"1","HRS849542","ypN+","ypN.8",150
"1","HRS849544","ypN0","ypN014",51
"1","HRS849550","ypN0","ypN015",38
"10","GSE203115_1","ypN0","ypN05",32
"10","GSE203115_2","ypN+","ypN.7",130
"10","GSE203115_3","ypN0","ypN06",22
"10","HRR1430835","ypN+","ypN.2",217
"10","HRR1430840","ypN0","ypN01",22
"10","HRR1430849","ypN0","ypN03",104
"10","HRR1430852","ypN0","ypN02",110
"10","HRR1430853","ypN+","ypN.4",52
"10","HRR1430854","ypN+","ypN.1",271
"10","HRR1430856","ypN+","ypN.5",136
"10","HRR1430859","ypN0","ypN04",25
"10","HRR1430863","ypN+","ypN.3",184
"10","HRR1430865","ypN+","ypN.6",272
"10","HRS849520","ypN0","ypN07",1
"10","HRS849523","ypN0","ypN08",101
"10","HRS849526","ypN0","ypN09",10
"10","HRS849531","ypN0","ypN010",151
"10","HRS849533","ypN0","ypN011",10
"10","HRS849536","ypN0","ypN012",5
"10","HRS849540","ypN0","ypN013",12
"10","HRS849542","ypN+","ypN.8",11
"10","HRS849544","ypN0","ypN014",10
"10","HRS849550","ypN0","ypN015",20
"11","GSE203115_1","ypN0","ypN05",40
"11","GSE203115_2","ypN+","ypN.7",14
"11","GSE203115_3","ypN0","ypN06",35
"11","HRR1430835","ypN+","ypN.2",5
"11","HRR1430849","ypN0","ypN03",110
"11","HRR1430852","ypN0","ypN02",27
"11","HRR1430853","ypN+","ypN.4",15
"11","HRR1430854","ypN+","ypN.1",157
"11","HRR1430856","ypN+","ypN.5",59
"11","HRR1430859","ypN0","ypN04",220
"11","HRR1430863","ypN+","ypN.3",2
"11","HRR1430865","ypN+","ypN.6",12
"11","HRS849520","ypN0","ypN07",49
"11","HRS849523","ypN0","ypN08",13
"11","HRS849526","ypN0","ypN09",424
"11","HRS849531","ypN0","ypN010",42
"11","HRS849533","ypN0","ypN011",17
"11","HRS849536","ypN0","ypN012",9
